Key	Type	Desc	Українська [c0]
Conditions/PercentageOfMiningAsMelee	Text		{0}% шкоди від видобутку додається до шкоди від ближнього бою
Conditions/PiercingProjectiles	Text		{0} ціль(ей) пробивають снаряди
Conditions/PinkGlow	Text		{0} рожеве світіння
Conditions/Poisoned	Text		На 75% зменшено отримане зцілення
Conditions/RangeAttackSpeedIncrease	Text		{0}% швидкості дальнього бою
Conditions/RangeDamageIncrease	Text		{0}% шкоди дальнього бою
Conditions/RedGlowingEyes	Text		Ваші очі світяться червоним кольором
Conditions/ReducedAnvilEquipmentCosts	Text		На створення предметів на ковадлі та ремонт предметів витрачається на {0}% менше матеріалів
Conditions/ReducedDamageFromBosses	Text		{0}% зменшується шкода від босів
Conditions/ReducedImpactOfSlipperyMovement	Text		на {0}% зменшується шкода від слизького руху
Conditions/RemovePoison	Text		Знімає будь-яку отруту з імбібітора
Conditions/SeedDropChance	Text		{0}% шанс отримати насіння при збиранні рослин
Conditions/ShortMovementSpeedBoost	Text		{0}% швидкості пересування на короткий час
Conditions/Sleeping	Text		Заснути
Conditions/SlipperyMovement	Text		Ваш рух слизький
Conditions/SlipperyMovementFromGround	Text		Земля слизька
Conditions/SlowedBySlime	Text		{0}% швидкості пересування від слизу
Conditions/SnareAndStunDurationReduction	Text		Тривалість пасток та оглушення зменшено на {0}%
Conditions/Snared	Text	"Can also be translated from ""immobilized"" or other similar word meaning that character can't move"	У пастці
Conditions/Snowing	Text		Ви відчуваєте, як зима обіймає вас
Conditions/StackedCritChance	Text		{0}% шанс критичного удару
Conditions/StarvingDamageDecrease	Text		{0}% знижено шкоду від голоду
Conditions/StarvingHealthDecrease	Text		на {0}% зменшується максимальний запас здоров'я від голодування
Conditions/StarvingMovementSpeedDecrease	Text		{0}% швидкість пересування при голоді
Conditions/StrongerWellFedBuffs	Text		Ефект ситості на {0}% сильніші
Conditions/Stunned	Text		Оглушенний
Conditions/Suffocating	Text		Задушення
Conditions/ThornsDamage	Text		{0} пошкодження шипами
Conditions/ThornsDamageAddedToMeleeAndRange	Text		Ваша шкода шипів додається до вашої шкоди в ближньому бою та на дальній дистанції
Conditions/ToolDurabilityLastsLonger	Text		{0}% шанс не втратити міцність при використанні інструментів і зброї
Conditions/VisibleOreDistanceIncrease	Text		{0} клітинок видимості руди
Conditions/WellFedBuffsThresholdReduction	Text		Ефект ситості потребує на {0}% менше їжі
Conditions/WellFedDamageIncrease	Text		{0}% збільшення шкоди від ситості
Conditions/WellFedHealthIncrease	Text		{0}% збільшення максимального здоров'я від ситості
Conditions/WellFedMovementSpeedIncrease	Text		{0}% швидкості пересування від ситості
ControlMapper/A4	Text		A4
ControlMapper/A4S	Text		A#4
ControlMapper/A5	Text		A5
ControlMapper/A5S	Text		A#5
ControlMapper/AccelerateVehicle	Text		Прискорити транспортний засіб
ControlMapper/B4	Text		B4
ControlMapper/B5	Text		B5
ControlMapper/C4	Text		C4
ControlMapper/C4S	Text		C#4
ControlMapper/C5	Text		C5
ControlMapper/C5S	Text		C#5
ControlMapper/D4	Text		D4
ControlMapper/D4S	Text		D#4
ControlMapper/D5	Text		D5
ControlMapper/D5S	Text		D#5
ControlMapper/DefaultCategory	Text		За замовчуванням
ControlMapper/DropSelectedItem	Text		Кинути предмет у світ
ControlMapper/E4	Text		E4
ControlMapper/E5	Text		E5
ControlMapper/EquipPreset1	Text		Екіпірувати завантаження 1
ControlMapper/EquipPreset2	Text		Екіпірувати завантаження 2
ControlMapper/EquipPreset3	Text		Екіпірувати завантаження 3
ControlMapper/EquipSlot1	Text		Встановити слот 1
ControlMapper/EquipSlot10	Text		Встановити слот 10
ControlMapper/EquipSlot2	Text		Встановити слот 2
ControlMapper/EquipSlot3	Text		Встановити слот 3
ControlMapper/EquipSlot4	Text		Встановити слот 4
ControlMapper/EquipSlot5	Text		Встановити слот 5
ControlMapper/EquipSlot6	Text		Встановити слот 6
ControlMapper/EquipSlot7	Text		Встановити слот 7
ControlMapper/EquipSlot8	Text		Встановити слот 8
ControlMapper/EquipSlot9	Text		Встановити слот 9
ControlMapper/F4	Text		F4
ControlMapper/F4S	Text		F#4
ControlMapper/F5	Text		F5
ControlMapper/F5S	Text		F#5
ControlMapper/G4	Text		G4
ControlMapper/G4S	Text		G#4
ControlMapper/G5	Text		G5
ControlMapper/G5S	Text		G#5
ControlMapper/GameCancel	Text		Закрити
ControlMapper/GameConfirm	Text		Підтвердити варіант
ControlMapper/GameInteract	Text		Атакувати
ControlMapper/GameMenu	Text		Відкрити меню
ControlMapper/GameNextItem	Text		Укомплектувати наступний елемент
ControlMapper/GamePreviousItem	Text		Екіпірувати попередній елемент
ControlMapper/GameSecondInteract	Text		Використовувати елемент
ControlMapper/GameX	Text		Лівий джойстик Вісь X
ControlMapper/GameY	Text		Лівий джойстик Y-вісь
ControlMapper/Honk	Text		Сигнал транспортного засобу
ControlMapper/MapPing	Text		Пінг карти
ControlMapper/MenuDown	Text		Ігровий інтерфейс вниз
ControlMapper/MenuLeft	Text		Ігровий інтерфейс ліворуч
ControlMapper/MenuRight	Text		Ігровий інтерфейс праворуч
ControlMapper/MenuUp	Text		Ігровий інтерфейс вгору
ControlMapper/MoveBackward	Text		Перемотати назад
ControlMapper/MoveFaster	Text		Швидко пересуватися у творчому режимі
ControlMapper/MoveForward	Text		Переміщення вперед
ControlMapper/MoveLeft	Text		Переміщення вліво
ControlMapper/MoveRight	Text		Переміщення вправо
ControlMapper/MoveUp	Text		Переміщення вперед
ControlMapper/MusicInstrumentCategory	Text		Інструмент
ControlMapper/ObjectInteract	Text		Взаємодіяти з об'єктом
ControlMapper/OctaveChange	Text		Підвищення октави на контролері
ControlMapper/OpenChat	Text		Відкрити чат
ControlMapper/PickUp10	Text		Підняти / опустити 10 предметів
ControlMapper/PickUpAllItems	Text		Підняти / опустити всі предмети
ControlMapper/PickUpHalf	Text		Підняти/впустити половину від загальної кількості предметів
ControlMapper/PickUpItems	Text		Взяти/впустити предмет
ControlMapper/QuickMoveItems	Text		Перемістити предмет до іншого інвентарю або екіпірувати
